title,date
"Maltese general election, 1888",1888-03-03
"King of the Ring (1995)",1995-06-25
"Battle of Salaita Hill",1916-02-12
"Balkans Campaign (World War I)",1914-08-03
"Battle of Sempach",1386-07-09
"1996 A-League Grand Final",1996-05-26
"Yukon general election, 2006",2006-10-10
"Battle of Mentana",1867-11-03
"The Great American Bash (2004)",2004-06-27
"United States Senate election in Louisiana, 2010",2010-11-02
"Operation Rhodes",1970-01-22
"SummerSlam (1990)",1990-08-27
"1987 Cannes Film Festival",1987-05-07
"Battle of Kampot",1974-04-02
"UFC 134",2011-08-27
"Capture of Wadi el Hesi",1917-11-09
"Idaho gubernatorial election, 1990",1990-11-06
"Iran hostage crisis",1979-11-04
"United States House of Representatives elections in Ohio, 2002",2002-11-05
"Bombing of Granollers",1938-05-31
"First Battle of Tuxpan",1847-04-18
"2013 Turkish Super Cup",2013-08-11
"Action of 17 July 1944",1944-07-17
"Venezuelan general election, 1983",1983-12-04
"United States presidential election in Pennsylvania, 1920",1920-11-02
"United States presidential election in Nevada, 1988",1988-11-08
"New Democratic Party leadership election, 2003",2003-01-25
"United States presidential election in Louisiana, 1824",1824-12-02
"Battle of Rufiji Delta",1915-07-11
"Texas gubernatorial election, 1857",1857-08-03
"Maine gubernatorial election, 1948",1948-09-13
"New York City mayoral election, 2017",2017-11-07
"2011 Aceh Singkil Regency earthquakes",0005-09-11
"Sanyuanli Incident",1841-05-30
"Battle of Ponza (1300)",1300-06-14
"Capture of Dunstable",1326-10-07
"United Kingdom local elections, 1995",1995-05-04
"Battle of Tagliacozzo",1268-08-23
"United States Senate election in Pennsylvania, 1920",1920-11-02
"Invasion of Isle de France",1810-12-03
"Battle of Sirte (2015)",2015-05-31
"2013 Svenska Supercupen",2013-11-10
"Battle of Sampur",2006-08-28
"Battle of Bir Hakeim",1942-06-11
"United States Senate election in Mississippi, 1996",1996-11-05
"Zamalek SC Centennial",2011-11-10
"United Kingdom general election, 1865",1865-07-24
"Slovenian presidential election, 2002",2002-12-01
"MLS Cup 2011",2011-11-20
"Convoy HX 212",1942-10-29
"Highland Council election, 2012",2012-05-03
"New Mexico gubernatorial election, 2014",2014-11-04
